age,age_fraud,age_not_fraud
14,9.325872635225154E-4,0.0010169341645664765
94,0.0035971223021582736,0.0013148004644852615
93,0.0021316280309086064,0.004396630697759565
92,0.009325872635225153,0.00339753748344864
91,0.0030642152944311218,0.003724104442474183
90,0.005329070077271516,0.004191071923076028
89,0.0045297095656807885,0.003011242125741466
88,0.0025313082867039704,0.0029662519033578994
87,0.005861977084998668,0.0017996088953426588
86,0.005329070077271516,0.002455845587351232
85,0.004662936317612576,0.0034727797519177083
84,0.007460698108180123,0.005031147972065726
83,0.002797761790567546,0.004152287248607436
82,0.004662936317612576,0.002647441879226075
81,0.005062616573407941,0.003318416747532713
80,0.011590727418065548,0.005321257337090793
79,0.010125233146815881,0.0049070370137662325
78,0.009992006394884092,0.005413564862326041
77,0.009858779642952304,0.005335995513388857
76,0.004263256061817213,0.0029965039494434013
75,0.0015987210231814548,0.00521886579649371
74,0.010125233146815881,0.008787055847604154
73,0.007460698108180123,0.005800635913522587
72,0.0033306687982946974,0.003819514741666919
71,0.010658140154543033,0.007455190126352713
70,0.011857180921929123,0.007721252993207252
69,0.007460698108180123,0.008099791416020708
68,0.001465494271249667,0.007786411246314486
67,0.011723954169997336,0.008206837117554022
66,0.00945909938715694,0.00949060984246441
65,0.013056221689315214,0.013109995663873395
64,0.01532107647215561,0.014332488603123408
63,0.014521715960564882,0.011989118571731091
62,0.016253663735678124,0.00943165713727215
61,0.015054622968292034,0.010773606873885426
60,0.009725552891020516,0.012296293193522339
59,0.018518518518518517,0.01337838561119605
58,0.02597921662669864,0.014436431530699234
57,0.020250466293631763,0.015609280086629448
56,0.0165201172395417,0.010962100391802782
55,0.017852384758859578,0.012726803080123708
54,0.023048228084199308,0.015422337955690837
53,0.018252065014654942,0.01799686464691596
52,0.018252065014654942,0.016156143996636594
51,0.014521715960564882,0.01389887594256455
50,0.016653343991473488,0.016707662067579968
49,0.026778577138289367,0.020387551981159956
48,0.01891819877431388,0.02526976680326629
47,0.021183053557154278,0.03194150650535345
46,0.022648547828403944,0.024854770786452356
45,0.01838529176658673,0.025566857409695703
44,0.013455901945110578,0.023995302400228364
43,0.024646949107380762,0.02353686754800961
42,0.011990407673860911,0.0207141189401855
41,0.011191047162270184,0.02084055697895311
40,0.016386890487609912,0.015720979949098993
39,0.011723954169997336,0.01939931847570024
38,0.016919797495337063,0.015595317603820756
37,0.01532107647215561,0.01688141740919926
36,0.013189448441247002,0.022664212372466293
35,0.01771915800692779,0.030405633396397215
34,0.0165201172395417,0.027686052022659557
33,0.026245670130562216,0.025778621732294213
32,0.02104982680522249,0.027482820328444138
31,0.010924593658406609,0.022470289000123336
30,0.02224886757260858,0.020751352227675348
29,0.02051691979749534,0.022671969307360013
28,0.016386890487609912,0.016913996535752877
27,0.019717559285904608,0.015015098873770623
26,0.014921396216360246,0.020470551184522744
25,0.013988808952837729,0.015619364101991282
24,0.014521715960564882,0.012637598328845947
23,0.014921396216360246,0.010159257630302931
22,0.023314681588062883,0.018896669094587287
21,0.00945909938715694,0.011514394156235529
20,0.012390087929656275,0.012591832412973009
19,0.005595523581135092,0.00633043456676355
18,0.0077271516120436985,0.0029809900796559643
16,0.004929389821476152,0.003930438910647091
15,0.0021316280309086064,0.004499797931846019
