hour,hour_fraud,hour_not_fraud
0,8.459898747668532,3.2475959319530645
23,25.366373567812417,5.057521550704369
22,25.726085798028244,5.045963717712728
21,0.9858779642952304,5.077612012079099
20,0.826005861977085,5.04480017747867
19,1.079136690647482,5.075129792913109
18,1.079136690647482,5.117249949386
17,1.0391686650679457,5.070863478721564
16,1.0125233146815882,5.092427757726101
15,1.0524913402611245,5.066209317785333
14,1.145750066613376,5.026416241780558
13,1.0658140154543032,5.060158908568233
12,0.8926192379429789,5.056745857214997
11,0.5595523581135092,3.2610154293191975
10,0.5329070077271516,3.275831174966199
9,0.6261657340794031,3.268617225515041
8,0.6528110844657607,3.2932842784770653
7,0.7460698108180123,3.269315349655476
6,0.5329070077271516,3.278080686085377
5,0.7993605115907274,3.2665228530937367
4,0.6128430588862244,3.2437174645062052
3,8.113509192645884,3.270323751191659
2,8.326671995736744,3.2603173051787624
1,8.766320277111644,3.2742797879874552
