state,difference
AK,0.3179617837693459
AL,-0.2984374670312824
AR,-0.2570617530870411
AZ,-0.33961283999517594
CA,-0.0033287853698583947
CO,0.4375650700109972
CT,-0.3830352128403322
DC,0.0011470776743912215
FL,0.45550702783602876
GA,-0.06525423820088333
HI,-0.10469825213544094
IA,-0.19037415608943037
ID,-0.28271934989340713
IL,-0.03176883378630188
IN,-0.23652791870705445
KS,0.30665340041061867
KY,-0.13174930695832587
LA,-0.4068191471354997
MA,-0.03538138904058165
MD,0.0720644364005589
ME,0.3143469963035862
MI,-0.3908775298231686
MN,0.3138162880241668
MO,-0.4194489996905096
MS,-0.10251124293770841
MT,-0.4829423020599445
NC,-0.3510774781575177
ND,-0.3831264544845857
NE,0.537347992467023
NH,0.14849535748283688
NJ,-0.32720983593184233
NM,-0.17386025555886087
NV,0.19488015398866249
NY,0.9600175152706003
OH,0.6960551594189359
OK,-0.1526171359810386
OR,0.5540792545904772
PA,-0.05636780429817967
RI,0.15834052621628864
SC,0.3219979011519946
SD,0.035653439814731756
TN,0.5143818846529159
TX,-0.9407524140906773
UT,-0.012499547209852621
VA,0.3843449629263435
VT,0.05198150873957381
WA,-0.18149888324412827
WI,-0.09381677922230304
WV,-0.03639844039625105
WY,-0.024768060531503606
